date,ticker,open,high,low,close,volume,rv20_yz,rv60_yz,rv20_c2c,rv20_pctile
2025-06-13,SMH,257.55,260.6,256.05,256.99,11950200,0.294969,0.50654,0.230937,35.52
2025-06-16,SMH,259.96,265.05,259.78,263.38,7497700,0.297998,0.506866,0.243515,36.96
2025-06-17,SMH,262.44,265.53,261.36,261.59,7284700,0.289713,0.505676,0.245596,31.35
2025-06-18,SMH,262.78,264.91,260.99,262.59,7367400,0.288659,0.504034,0.244895,30.11
2025-06-20,SMH,264.85,265.02,257.22,260.27,11439900,0.280832,0.505826,0.237852,26.74
2025-06-23,SMH,259.85,262.66,257.12,261.92,10420100,0.282781,0.504584,0.236747,27.13
2025-06-24,SMH,265.93,271.62,265.74,271.54,9035500,0.267105,0.504579,0.251816,17.46
2025-06-25,SMH,273.22,275.27,272.45,275.2,8480000,0.257041,0.503332,0.236271,11.58
2025-06-26,SMH,277.08,277.95,274.95,277.2,6789000,0.256029,0.49967,0.228064,11.52
2025-06-27,SMH,278.18,280.5,275.64,278.42,8170900,0.239275,0.498645,0.228207,2.6
2025-06-30,SMH,279.7,279.96,277.1,278.88,6375800,0.224182,0.495696,0.210234,0.0
2025-07-01,SMH,276.8,278.06,272.16,275.84,8931300,0.230565,0.480805,0.218254,1.03
2025-07-02,SMH,274.82,281.92,274.66,281.25,8713800,0.230033,0.468935,0.215663,1.03
2025-07-03,SMH,282.82,285.19,282.31,283.62,4443000,0.227503,0.426782,0.214802,1.02
2025-07-07,SMH,281.76,282.64,278.55,279.76,8616400,0.224419,0.401197,0.224449,0.51
2025-07-08,SMH,281.61,284.73,280.7,283.48,8186500,0.223247,0.372037,0.226174,0.0
2025-07-09,SMH,284.73,287.84,283.57,285.42,6810700,0.219582,0.345426,0.222583,0.0
2025-07-10,SMH,287.89,288.19,284.56,287.52,5635200,0.220653,0.342974,0.216181,0.5
2025-07-11,SMH,286.47,288.94,285.55,287.49,5677000,0.217777,0.336429,0.215988,0.0
2025-07-14,SMH,286.3,286.52,281.74,285.32,7455800,0.220261,0.336985,0.220308,0.99
2025-07-15,SMH,291.67,293.2,290.08,290.8,9892500,0.210268,0.316632,0.200256,0.0
2025-07-16,SMH,288.5,289.57,283.13,289.28,10065900,0.218641,0.318058,0.191735,0.98
2025-07-17,SMH,290.05,292.56,287.98,291.71,6998300,0.215713,0.312589,0.187167,0.49
2025-07-18,SMH,292.91,293.33,289.33,290.31,5522100,0.214744,0.311091,0.190638,0.49
2025-07-21,SMH,290.67,293.53,290.4,290.51,5910900,0.205625,0.295053,0.184313,0.0
2025-07-22,SMH,289.74,289.84,282.12,285.37,11537500,0.209351,0.292936,0.202001,0.48
2025-07-23,SMH,285.3,286.67,282.99,286.61,8194600,0.204793,0.290701,0.16352,0.0
2025-07-24,SMH,287.19,288.27,284.92,287.8,5902600,0.205487,0.287789,0.158728,0.48
2025-07-25,SMH,286.23,288.04,285.06,287.49,4014900,0.205547,0.286971,0.157996,0.95
2025-07-28,SMH,289.78,291.57,289.29,291.41,5671900,0.203259,0.278789,0.163223,0.0
2025-07-29,SMH,293.56,296.73,291.48,292.9,6968700,0.20697,0.277283,0.163505,2.35
2025-07-30,SMH,294.76,297.38,293.59,296.26,7930300,0.199553,0.272524,0.158365,0.0
2025-07-31,SMH,294.7,294.92,286.05,288.78,9928100,0.205785,0.273748,0.177957,2.79
2025-08-01,SMH,282.91,286.94,279.19,283.95,14032200,0.228076,0.275574,0.187002,10.19
2025-08-04,SMH,286.29,290.31,285.21,290.19,5323200,0.228069,0.27416,0.194574,10.14
2025-08-05,SMH,290.74,291.33,284.21,287.1,6918300,0.231964,0.273816,0.194542,11.93
2025-08-06,SMH,284.83,287.23,282.77,286.62,6124300,0.234031,0.274025,0.193292,12.33
2025-08-07,SMH,292.83,294.71,288.62,291.12,8069400,0.24586,0.251678,0.199441,18.18
2025-08-08,SMH,291.93,293.92,290.65,293.53,5121600,0.244971,0.249639,0.201231,17.65
2025-08-11,SMH,294.51,297.09,292.73,293.4,5799700,0.242199,0.249284,0.198758,15.77
2025-08-12,SMH,295.29,300.24,293.15,300.1,7592800,0.235096,0.248724,0.203288,12.56
2025-08-13,SMH,301.84,302.98,298.57,301.28,8959700,0.226184,0.248746,0.201811,8.93
2025-08-14,SMH,298.0,302.8,297.28,301.92,5827000,0.230499,0.245853,0.200425,11.56
2025-08-15,SMH,299.36,299.36,293.94,295.65,9026300,0.234256,0.246448,0.215102,13.27
2025-08-18,SMH,294.92,297.19,294.78,296.86,5577500,0.232564,0.240391,0.215393,12.78
2025-08-19,SMH,296.86,297.12,290.63,290.87,8191900,0.226553,0.240189,0.218511,9.21
2025-08-20,SMH,290.0,290.0,281.15,288.96,10091000,0.244035,0.239942,0.219706,19.65
2025-08-21,SMH,287.78,289.87,285.88,287.46,6067700,0.244711,0.236422,0.220103,20.0
2025-08-22,SMH,287.63,296.36,286.54,293.64,5810400,0.252336,0.238868,0.232669,25.11
2025-08-25,SMH,293.75,295.79,292.12,293.92,4965000,0.252038,0.231842,0.227953,24.57
2025-08-26,SMH,294.82,297.24,294.67,296.75,4967100,0.247539,0.226686,0.22972,21.89
2025-08-27,SMH,295.85,298.1,294.38,297.66,5646200,0.246499,0.226369,0.226425,21.79
2025-08-28,SMH,298.1,300.78,295.98,298.88,7194000,0.240338,0.225576,0.205056,17.02
2025-08-29,SMH,295.56,295.56,289.1,290.29,13420900,0.226863,0.226815,0.223638,9.32
2025-09-02,SMH,283.09,286.67,281.74,286.48,11543700,0.241869,0.231344,0.215117,18.14
2025-09-03,SMH,287.36,287.93,283.78,286.43,7249600,0.238483,0.231054,0.211806,15.55
2025-09-04,SMH,285.24,290.21,284.3,289.86,8079300,0.237505,0.229842,0.215926,15.06
2025-09-05,SMH,295.07,295.15,289.25,293.28,9809600,0.234965,0.233595,0.212786,14.17
2025-09-08,SMH,295.14,297.82,294.8,296.52,7223200,0.235972,0.232526,0.214349,14.94
2025-09-09,SMH,297.22,297.99,295.11,297.81,6797000,0.234321,0.231996,0.21474,14.05
2025-09-10,SMH,300.59,302.38,298.77,300.83,10221400,0.232504,0.226966,0.202103,12.76
2025-09-11,SMH,303.54,305.56,303.17,303.93,7312400,0.232101,0.225607,0.20491,12.7
2025-09-12,SMH,305.06,305.59,303.1,304.32,5231900,0.227808,0.224256,0.204841,10.2
2025-09-15,SMH,303.82,307.23,303.01,307.17,5390200,0.223786,0.223776,0.19064,7.32
2025-09-16,SMH,308.43,308.67,305.57,307.21,4227600,0.225019,0.22044,0.190559,8.5
2025-09-17,SMH,306.5,307.15,301.37,305.25,9647700,0.228003,0.220494,0.17487,11.29
2025-09-18,SMH,313.55,318.62,312.6,316.97,16335600,0.229724,0.225316,0.21142,12.45
2025-09-19,SMH,316.4,316.51,313.43,315.71,8381600,0.228466,0.225466,0.21071,12.4
2025-09-22,SMH,316.27,323.14,316.0,322.17,11618100,0.221171,0.225661,0.209678,6.77
2025-09-23,SMH,323.16,325.36,320.02,321.7,9159000,0.222525,0.225481,0.210414,7.14
2025-09-24,SMH,321.4,321.96,317.47,321.11,8632200,0.225808,0.226043,0.210671,9.52
2025-09-25,SMH,316.29,322.03,313.6,321.06,9592900,0.238203,0.227968,0.211159,20.63
2025-09-26,SMH,321.64,322.42,318.14,321.82,6886100,0.238313,0.227569,0.211214,21.03
2025-09-29,SMH,324.65,326.83,322.47,322.66,5833600,0.233517,0.228278,0.172155,17.06
2025-09-30,SMH,322.75,326.72,322.43,326.36,7459900,0.208467,0.227317,0.158725,3.17
2025-10-01,SMH,324.28,334.11,324.11,333.69,9911800,0.212069,0.228303,0.165935,4.37
2025-10-02,SMH,339.66,340.0,336.56,338.24,8092600,0.215086,0.230284,0.166595,5.16
2025-10-03,SMH,339.41,340.78,335.18,336.68,7770000,0.204671,0.229792,0.171415,0.79
2025-10-06,SMH,345.46,348.53,343.38,343.38,10263200,0.22174,0.235575,0.176878,8.73
2025-10-07,SMH,346.29,346.67,336.56,337.05,9365700,0.225666,0.235645,0.199359,11.51
