forecast_id,ts_utc,ticker,horizon_days,direction,pred_move_pct,pred_vol_annual,pred_prob_profit,iv_at_forecast,iv_rank,rationale,decision,skip_reason,earnings_trade,source,regime,gate_reason,hypothesis,model_version
3917d37f-2abb-4581-9257-4853b2a3d81b,2026-09-01T23:36:30+00:00,UBER,21,up,0.0,0.353299,0.3278,0.2909294505378078,88.88888888888889,auto cron market-default verdict=SKIP p=0.328 vol=0.35,skip,RV percentile 66 > 40,false,model,kelly,RV percentile 66 > 40,,mc_path_v2
ece57e53-d9b2-443c-81ff-bce8ceb2eb77,2026-09-01T23:36:32+00:00,SHOP,21,up,0.0,0.44706,0.27495,0.3450617670412002,22.22222222222222,auto cron market-default verdict=SKIP p=0.275 vol=0.45,skip,RV percentile 87 > 40,false,model,kelly,RV percentile 87 > 40,,mc_path_v2
db0679f2-6770-4136-999d-157914c33135,2026-09-01T23:36:33+00:00,MRVL,21,up,0.0,0.575985,0.3104,0.4624493331827779,0.0,auto cron market-default verdict=SKIP p=0.310 vol=0.58,skip,RV percentile 80 > 40,false,model,kelly,RV percentile 80 > 40,,mc_path_v2
1610b7e5-f848-4028-b228-6c47f2c2daec,2026-09-01T23:36:35+00:00,SMCI,21,up,0.0,0.702541,0.235925,0.5809391242414211,11.11111111111111,auto cron market-default verdict=SKIP p=0.236 vol=0.70,skip,RV percentile 40 > 40,false,model,kelly,RV percentile 40 > 40,,mc_path_v2
47b9f010-bef3-4955-ac5b-7c4ddf3895b1,2026-09-01T23:36:36+00:00,XLE,21,up,0.0,0.249865,0.2009,0.15103432585434598,11.11111111111111,auto cron market-default verdict=SKIP p=0.201 vol=0.25,skip,RV percentile 64 > 40,false,model,kelly,RV percentile 64 > 40,,mc_path_v2
1fbed0e2-4ee5-4331-8222-37f6cbd7834b,2026-09-01T23:36:38+00:00,XLF,21,up,0.0,0.154192,0.290125,0.1104000387259894,87.5,auto cron market-default verdict=SKIP p=0.290 vol=0.15,skip,log_growth -0.5415 <= 0.0,false,model,kelly,"cheap: RV%ile 7, IV-RV -0.002, IV rank n/a (<180d history, not yet active)",,mc_path_v2
ec66c448-8a78-4698-a80a-952d2845e0e0,2026-09-01T23:36:39+00:00,XBI,21,up,0.0,0.275997,0.298675,0.22605892346184864,0.0,auto cron market-default verdict=SKIP p=0.299 vol=0.28,skip,RV percentile 71 > 40,false,model,kelly,RV percentile 71 > 40,,mc_path_v2
87cdfa1c-3e11-4bf0-89a2-6b360baf7a69,2026-09-01T23:36:41+00:00,SMH,21,up,0.0,0.316188,0.313,0.2570901109190467,12.5,auto cron market-default verdict=SKIP p=0.313 vol=0.32,skip,RV percentile 47 > 40,false,model,kelly,RV percentile 47 > 40,,mc_path_v2
6ccc7b3b-6153-47dd-b310-610ab111de3d,2026-09-01T23:36:43+00:00,ARKK,21,up,0.0,0.346111,0.266525,0.3064209997141328,75.0,auto cron market-default verdict=SKIP p=0.267 vol=0.35,skip,IV-RV spread +0.039 > +0.030,false,model,kelly,IV-RV spread +0.039 > +0.030,,mc_path_v2
58b8fc00-8e11-4498-af1b-1b43c60b3a4f,2026-09-01T23:36:45+00:00,GDX,21,up,0.0,0.463713,0.3335,0.3785782144763511,37.5,auto cron market-default verdict=SKIP p=0.334 vol=0.46,skip,RV percentile 70 > 40,false,model,kelly,RV percentile 70 > 40,,mc_path_v2
66a65d5b-f794-4f2a-a471-c7086153b1d1,2026-09-02T23:37:21+00:00,NVDA,21,up,0.0,0.314677,0.372775,0.25858902020486846,33.33333333333333,auto cron market-default verdict=SKIP p=0.373 vol=0.31,skip,contracts==0 (size/cap),false,model,kelly,"cheap: RV%ile 39, IV-RV -0.101, IV rank n/a (<180d history, not yet active)",,mc_path_v2
